source,target,type,weight
kthota-g,oliverlabs,co_comment,2.0
moonbox3,oliverlabs,co_comment,2.584962500721156
c-mysec,dmandar,co_comment,2.0
c-mysec,holtskinner,co_comment,2.0
c-mysec,whitlockjc,co_comment,2.0
dmandar,holtskinner,co_comment,4.169925001442312
dmandar,whitlockjc,co_comment,3.0
holtskinner,moonbox3,co_comment,2.584962500721156
holtskinner,swapydapy,co_comment,4.0
didier-durand,holtskinner,co_comment,3.0
rajeshvelicheti,robert-at-pretension-io,co_comment,2.0
darrelmiller,ognis1205,co_comment,2.584962500721156
izzymsft,pstephengoogle,co_comment,2.584962500721156
kthota-g,pstephengoogle,co_comment,3.0
pstephengoogle,zeroasterisk,co_comment,2.584962500721156
chorghemaruti64-creator,edenreich,co_comment,2.0
edenreich,swapydapy,co_comment,3.0
matoushavlena,swapydapy,co_comment,2.0
kthota-g,lukehinds,co_comment,2.0
kthota-g,matoushavlena,co_comment,2.0
lukehinds,matoushavlena,co_comment,2.0
c-mysec,darrelmiller,co_comment,2.0
holtskinner,lukehinds,co_comment,2.0
ToddSegal,amye,co_comment,3.321928094887362
ToddSegal,edenreich,co_comment,2.584962500721156
ToddSegal,pstephengoogle,co_comment,3.0
ToddSegal,swapydapy,co_comment,3.0
amye,edenreich,co_comment,2.584962500721156
amye,holtskinner,co_comment,4.459431618637297
amye,swapydapy,co_comment,2.584962500721156
pstephengoogle,swapydapy,co_comment,3.0
izzymsft,kthota-g,co_comment,2.0
matoushavlena,mikeas1,co_comment,2.0
matoushavlena,vinoo999,co_comment,2.0
mikeas1,vinoo999,co_comment,2.0
kthota-g,zeroasterisk,co_comment,2.0
holtskinner,maeste,co_comment,3.321928094887362
kthota-g,maeste,co_comment,3.0
ToddSegal,chorghemaruti64-creator,co_comment,2.0
ToddSegal,kthota-g,co_comment,2.0
ToddSegal,muscariello,co_comment,2.584962500721156
chorghemaruti64-creator,holtskinner,co_comment,2.584962500721156
chorghemaruti64-creator,kthota-g,co_comment,2.0
chorghemaruti64-creator,muscariello,co_comment,2.0
kthota-g,muscariello,co_comment,2.0
Tehsmash,ToddSegal,co_comment,3.0
ToddSegal,mikeas1,co_comment,2.0
herczyn,muscariello,co_comment,2.584962500721156
holtskinner,madankumarpichamuthu,co_comment,2.0
herczyn,yarolegovich,co_comment,2.0
darrelmiller,imran-siddique,co_comment,2.0
amye,herczyn,co_comment,2.0
holtskinner,ishymko,co_comment,2.584962500721156
The-Nexus-Guard,amye,co_comment,2.0
Tehsmash,ishymko,co_comment,2.0
amye,ishymko,co_comment,2.0
chorghemaruti64-creator,ishymko,co_comment,2.0
darrelmiller,ishymko,co_comment,2.584962500721156
ToddSegal,herczyn,co_comment,2.0
holtskinner,yarolegovich,co_comment,2.584962500721156
muscariello,yarolegovich,co_comment,2.584962500721156
abiramit5,holtskinner,co_comment,3.321928094887362
maeste,mikeas1,co_comment,2.0
maeste,yarolegovich,co_comment,2.0
mikeas1,pstephengoogle,co_comment,2.584962500721156
pstephengoogle,yarolegovich,co_comment,2.584962500721156
dmandar,kthota-g,co_comment,2.584962500721156
ToddSegal,yarolegovich,co_comment,2.0
edenreich,muscariello,co_comment,2.0
edenreich,yarolegovich,co_comment,2.0
muscariello,pstephengoogle,co_comment,2.0
muscariello,swapydapy,co_comment,2.0
swapydapy,yarolegovich,co_comment,2.0
maeste,zeroasterisk,co_comment,2.0
dmandar,pstephengoogle,co_comment,2.584962500721156
kthota-g,swapydapy,co_comment,3.584962500721156
dmandar,mikeas1,co_comment,2.584962500721156
dmandar,rajeshvelicheti,co_comment,2.0
Linux2010,holtskinner,co_comment,2.584962500721156
dmandar,koverholt,co_comment,2.0
dmandar,zeroasterisk,co_comment,2.0
holtskinner,koverholt,co_comment,2.0
koverholt,zeroasterisk,co_comment,2.0
abiramit5,darrelmiller,co_comment,2.0
abiramit5,kthota-g,co_comment,2.0
abiramit5,mikeas1,co_comment,2.0
abiramit5,swapydapy,co_comment,2.0
mikeas1,swapydapy,co_comment,2.0
